ZIP,total_crime,violent_crime_rate,property_crime_rates,drug_cimes,vandalism,other_crimes
90001,121.385,14.47,28.56,67.07,9.155,2.13
90002,107.673,14.76,26.29,57.01,7.563,2.05
90003,110.422,14.1,27.18,59.51,7.352,2.28
90004,97.8,10.69,39.78,32.66,12.11,2.56
90005,129.82,12.33,57.63,36.65,20.39,2.82
90006,130.34,12.86,58.46,36.02,20.48,2.52
90007,100.04,12.88,38.36,27.43,19.08,2.29
90008,61.397,9.838,23.15,18.73,7.269,2.41
90010,98.67,13.45,45.34,23.62,13.25,3.01
90011,132.656,11.15,35.73,74.36,9.346,2.07
90012,191.11,12.63,58.73,25.65,91.48,2.62
90013,251.4,32.92,82.61,26.81,105.9,3.16
90015,117.14,17.98,36.32,29.72,30.33,2.79
90016,60.976,9.811,20.24,22.12,7.145,1.66
90017,138.36,14.3,50.33,31.17,40.02,2.54
90018,79.793,8.253,26.1,32.88,10.47,2.09
90019,79.104,9.244,27.59,28.48,11.83,1.96
90020,97.98,11,36.85,36.46,11.23,2.44
90021,409.59,37.43,117.4,38.96,212.2,3.6
90022,47.341,5.844,24.95,10.51,4.567,1.47
90023,63.349,8.721,29.4,16.3,7.328,1.6
90024,54.033,4.217,30.49,12.81,5.176,1.34
90025,39.105,3.525,18.44,11.42,4.3,1.42
90026,115.814,9.914,43.51,22.48,37.55,2.36
90027,75.49,9.23,31.45,19.55,12.53,2.73
90028,105.923,9.543,42.32,26.73,24.69,2.64
90029,107.39,10.64,31.41,36.97,25.57,2.8
90031,72.995,7.693,44.48,12.21,6.832,1.78
90032,40.728,5.004,21.19,7.859,5.315,1.36
90033,73.089,8.334,37.7,18.42,6.785,1.85
90034,34.651,3.917,14.66,12.83,1.934,1.31
90035,54.05,3.17,31,14.15,4.43,1.3
90036,87.191,6.618,58.94,8.663,10.71,2.26
90037,101.805,9.94,28.61,53.69,7.455,2.11
90038,112.882,9.952,44.66,29.36,26.12,2.79
90039,70.267,4.923,27.18,6.544,29.43,2.19
90040,50.992,7.374,23.38,12.9,5.888,1.45
90041,32.184,3.637,16.57,6.648,3.589,1.74
90042,45.979,3.77,22.73,12.93,4.919,1.63
90043,59.65,10.94,23.03,16.5,6.4,2.78
90044,77.904,14.37,25.78,28.86,6.284,2.61
90045,32.356,4.006,15.67,7.735,3.755,1.19
90046,58.02,4.767,28.75,16.17,6.343,1.99
90047,65.315,12.67,24.15,20.63,4.955,2.91
90048,50.754,4.672,29.14,10.77,3.702,2.47
90049,30.472,3.164,12.53,10.12,3.358,1.3
90056,39.519,5.451,18.4,8.593,5.205,1.87
90057,133.59,11.97,62.29,36.56,20.4,2.37
90058,167.02,19.21,68.23,60.31,16.92,2.35
90059,57.844,13.19,24.89,7.824,10.07,1.87
