ZIP,Income
90001,48011.0
90002,42245.0
90003,42220.0
90004,52775.0
90005,42398.0
90006,37375.0
90007,30530.0
90008,47230.0
90010,70500.0
90011,44616.0
90012,49905.0
90013,21175.0
90015,48743.0
90016,49958.0
90017,36870.0
90018,49644.0
90019,58313.0
90020,50207.0
90021,21625.0
90022,51183.0
90023,45991.0
90024,63344.0
90025,97791.0
90026,67435.0
90027,71651.0
90028,50253.0
90029,45004.0
90031,51076.0
90032,59723.0
90033,43646.0
90034,80773.0
90035,99367.0
90036,84315.0
90037,37945.0
90038,48786.0
90039,88104.0
90040,54567.0
90041,90461.0
90042,73152.0
90043,56285.0
90044,39434.0
90045,110535.0
90046,72457.0
90047,58830.0
90048,93583.0
90049,133032.0
90056,84387.0
90057,41748.0
90058,27708.0
90059,44839.0
90061,47468.0
90062,52661.0
90063,50913.0
90064,103045.0
90065,76080.0
90066,87589.0
90067,111299.0
90068,87327.0
90069,90546.0
90077,222982.0
90094,170634.0
90201,46109.0
90210,152037.0
90211,96111.0
90212,86496.0
90220,61279.0
90221,53683.0
90222,57101.0
90230,87469.0
90232,98116.0
90240,87107.0
90241,72274.0
90242,73037.0
90245,115846.0
90247,61234.0
90248,63620.0
90249,65397.0
90250,60162.0
90254,142500.0
90255,49366.0
90260,70389.0
90262,57236.0
90265,163909.0
90266,153926.0
90270,50996.0
90272,199598.0
90274,181776.0
90275,145816.0
90277,104859.0
90278,126979.0
90280,55084.0
90290,129000.0
90291,99496.0
90292,121021.0
90293,104814.0
90301,51498.0
90302,54432.0
90303,62826.0
90304,47612.0
90305,88910.0
90401,95217.0
90402,145742.0
90403,111611.0
90404,75610.0
90405,96352.0
90501,75388.0
90502,85515.0
90503,97688.0
90504,92636.0
90505,95113.0
90601,76177.0
90602,54752.0
90603,104028.0
90604,77898.0
90605,77482.0
90606,74717.0
90638,92508.0
90640,62521.0
90650,77425.0
90660,70620.0
90670,71318.0
90701,74523.0
90703,108844.0
90704,77868.0
90706,63848.0
90710,65119.0
90712,102687.0
90713,108311.0
90715,74471.0
90716,61525.0
90717,75286.0
90723,57313.0
90731,56881.0
90732,101738.0
90744,50965.0
90745,86981.0
90746,87713.0
90755,86140.0
90802,60939.0
90803,92230.0
90804,52122.0
90805,53299.0
90806,57037.0
90807,77966.0
90808,111163.0
90810,60486.0
90813,41175.0
90814,81925.0
90815,100034.0
91001,104577.0
91006,105011.0
91007,84833.0
91010,83051.0
91011,170571.0
91016,82801.0
91020,65506.0
91024,106719.0
91030,109927.0
91040,92280.0
91042,66453.0
91101,72144.0
91103,71600.0
91104,78285.0
91105,137637.0
91106,84782.0
91107,100866.0
91108,163654.0
91201,59073.0
91202,81665.0
91203,61384.0
91204,55847.0
91205,47160.0
91206,74893.0
91207,85107.0
91208,104866.0
91214,108583.0
91301,130315.0
91302,149723.0
91303,62848.0
91304,71039.0
91306,73894.0
91307,119452.0
91311,96432.0
91316,76088.0
91321,74986.0
91324,83894.0
91325,72041.0
91326,120563.0
91331,71358.0
91335,65740.0
91340,64479.0
91342,79572.0
91343,67043.0
91344,103329.0
91345,80759.0
91350,113028.0
91351,85755.0
91352,58696.0
91354,130557.0
91355,95640.0
91356,80872.0
91364,110525.0
91367,95212.0
91381,134115.0
91384,111990.0
91387,94545.0
91390,121902.0
91401,57493.0
91402,48933.0
91403,101021.0
91405,49232.0
91406,61880.0
91411,61914.0
91423,90783.0
91436,153304.0
91501,73622.0
91502,53580.0
91504,86295.0
91505,89021.0
91506,85086.0
91601,57411.0
91602,81795.0
91604,119586.0
91605,53335.0
91606,54649.0
91607,76092.0
91702,68058.0
91706,68773.0
91711,100598.0
91722,82441.0
91723,70428.0
91724,84679.0
91731,48723.0
91732,56098.0
91733,57500.0
91740,89655.0
91741,108750.0
91744,74100.0
91745,88702.0
91746,77740.0
91748,73948.0
91750,93166.0
91754,66218.0
91755,59285.0
91765,101161.0
91766,61018.0
91767,63283.0
91768,62136.0
91770,61394.0
91773,89669.0
91775,94024.0
91776,65563.0
91780,83029.0
91789,105848.0
91790,84505.0
91791,87147.0
91792,85040.0
91801,66804.0
91803,66169.0
93510,101750.0
93532,76250.0
93534,43247.0
93535,49304.0
93536,84674.0
93543,57003.0
93544,38523.0
93550,48002.0
93551,93637.0
93552,66289.0
93591,48911.0
90014,71358.0
