Date,30-Year Fixed-Rate Mortgages Since 1971
1/31/00,8.21
2/29/00,8.33
3/31/00,8.24
4/30/00,8.15
5/31/00,8.52
6/30/00,8.29
7/31/00,8.15
8/31/00,8.03
9/30/00,7.91
10/31/00,7.8
11/30/00,7.75
12/31/00,7.38
1/31/01,7.03
2/28/01,7.05
3/31/01,6.95
4/30/01,7.08
5/31/01,7.15
6/30/01,7.16
7/31/01,7.13
8/31/01,6.95
9/30/01,6.82
10/31/01,6.62
11/30/01,6.66
12/31/01,7.07
1/31/02,7
2/28/02,6.89
3/31/02,7.01
4/30/02,6.99
5/31/02,6.81
6/30/02,6.65
7/31/02,6.49
8/31/02,6.29
9/30/02,6.09
10/31/02,6.11
11/30/02,6.07
12/31/02,6.05
1/31/03,5.92
2/28/03,5.84
3/31/03,5.75
4/30/03,5.81
5/31/03,5.48
6/30/03,5.23
7/31/03,5.63
8/31/03,6.26
9/30/03,6.15
10/31/03,5.95
11/30/03,5.93
12/31/03,5.88
1/31/04,5.71
2/29/04,5.64
3/31/04,5.45
4/30/04,5.83
5/31/04,6.27
6/30/04,6.29
7/31/04,6.06
8/31/04,5.87
9/30/04,5.75
10/31/04,5.72
11/30/04,5.73
12/31/04,5.75
1/31/05,5.71
2/28/05,5.63
3/31/05,5.93
4/30/05,5.86
5/31/05,5.72
6/30/05,5.58
7/31/05,5.7
8/31/05,5.82
9/30/05,5.77
10/31/05,6.07
11/30/05,6.33
12/31/05,6.27
1/31/06,6.15
2/28/06,6.25
3/31/06,6.32
4/30/06,6.51
5/31/06,6.6
6/30/06,6.68
7/31/06,6.76
8/31/06,6.52
9/30/06,6.4
10/31/06,6.36
11/30/06,6.24
12/31/06,6.14
1/31/07,6.22
2/28/07,6.29
3/31/07,6.16
4/30/07,6.18
5/31/07,6.26
6/30/07,6.66
7/31/07,6.7
8/31/07,6.57
9/30/07,6.38
10/31/07,6.38
11/30/07,6.21
12/31/07,6.1
1/31/08,5.76
2/29/08,5.92
3/31/08,5.97
4/30/08,5.92
5/31/08,6.04
6/30/08,6.32
7/31/08,6.43
8/31/08,6.48
9/30/08,6.04
10/31/08,6.2
11/30/08,6.09
12/31/08,5.29
1/31/09,5.05
2/28/09,5.13
3/31/09,5
4/30/09,4.81
5/31/09,4.86
6/30/09,5.42
7/31/09,5.22
8/31/09,5.19
9/30/09,5.06
10/31/09,4.95
11/30/09,4.88
12/31/09,4.93
1/31/10,5.03
2/28/10,4.99
3/31/10,4.97
4/30/10,5.1
5/31/10,4.89
6/30/10,4.74
7/31/10,4.56
8/31/10,4.43
9/30/10,4.35
10/31/10,4.23
11/30/10,4.3
12/31/10,4.71
1/31/11,4.76
2/28/11,4.95
3/31/11,4.84
4/30/11,4.84
5/31/11,4.64
6/30/11,4.51
7/31/11,4.55
8/31/11,4.27
9/30/11,4.11
10/31/11,4.07
11/30/11,3.99
12/31/11,3.96
1/31/12,3.92
2/29/12,3.89
3/31/12,3.95
4/30/12,3.91
5/31/12,3.8
6/30/12,3.68
7/31/12,3.55
8/31/12,3.6
9/30/12,3.5
10/31/12,3.38
11/30/12,3.35
12/31/12,3.35
1/31/13,3.41
2/28/13,3.53
3/31/13,3.57
4/30/13,3.45
5/31/13,3.54
6/30/13,4.07
7/31/13,4.37
8/31/13,4.46
9/30/13,4.49
10/31/13,4.19
11/30/13,4.26
12/31/13,4.46
1/31/14,4.43
2/28/14,4.3
3/31/14,4.34
4/30/14,4.34
5/31/14,4.19
6/30/14,4.16
7/31/14,4.13
8/31/14,4.12
9/30/14,4.16
10/31/14,4.04
11/30/14,4
12/31/14,3.86
1/31/15,3.67
2/28/15,3.71
3/31/15,3.77
4/30/15,3.67
5/31/15,3.84
6/30/15,3.98
7/31/15,4.05
8/31/15,3.91
9/30/15,3.89
10/31/15,3.8
11/30/15,3.94
12/31/15,3.96
1/31/16,3.87
2/29/16,3.66
3/31/16,3.69
4/30/16,3.61
5/31/16,3.6
6/30/16,3.57
7/31/16,3.44
8/31/16,3.44
9/30/16,3.46
10/31/16,3.47
11/30/16,3.77
12/31/16,4.2
1/31/17,4.15
2/28/17,4.17
3/31/17,4.2
4/30/17,4.05
5/31/17,4.01
6/30/17,3.9
7/31/17,3.97
8/31/17,3.88
9/30/17,3.81
10/31/17,3.9
11/30/17,3.92
12/31/17,3.95
1/31/18,4.03
2/28/18,4.33
3/31/18,4.44
4/30/18,4.47
5/31/18,4.59
6/30/18,4.57
7/31/18,4.53
8/31/18,4.55
9/30/18,4.63
10/31/18,4.83
11/30/18,4.87
12/31/18,4.64
1/31/19,4.46
2/28/19,4.37
3/31/19,4.27
4/30/19,4.14
5/31/19,4.07
6/30/19,3.8
7/31/19,3.77
8/31/19,3.62
9/30/19,3.61
10/31/19,3.69
11/30/19,3.7
12/31/19,3.72
1/31/20,3.62
2/29/20,3.47
3/31/20,3.45
4/30/20,3.31
5/31/20,3.23
6/30/20,3.16
7/31/20,3.02
8/31/20,2.94
9/30/20,2.89
10/31/20,2.83
11/30/20,2.77
12/31/20,2.68
1/31/21,2.74
2/28/21,2.81
3/31/21,3.08
4/30/21,3.06
5/31/21,2.96
6/30/21,2.98
7/31/21,2.87
8/31/21,2.84
9/30/21,2.9
10/31/21,3.07
11/30/21,3.07
12/31/21,3.1
1/31/22,3.45
2/28/22,3.76
3/31/22,4.17
4/30/22,4.98
