ZIP,metro_line
90001,A Line
90002,A Line
90003,-
90004,B Line (to Hollywood/Vine)
90005,D Line (to Wilshire/Western)
90006,D Line (to Wilshire/Western)
90007,E Line (Phase 1): to La Cienega/Jefferson
90008,K Line
90010,D Line (to Wilshire/Western)
90011,A Line
90012,B Line (to Hollywood/Vine)
90013,B Line (to Hollywood/Vine)
90014,B Line (to Hollywood/Vine)
90015,A Line
90016,E Line (Phase 1): to La Cienega/Jefferson
90017,B Line (to Hollywood/Vine)
90018,E Line (Phase 1): to La Cienega/Jefferson
90019,D Line Extension (Phase 1)
90020,D Line (to Wilshire/Western)
90021,West Santa Ana Branch Transit Corridor
90022,L Line (Eastside Transit Corridor Phase 1: Union Station to Atlantic Station)
90023,-
90024,D Line Extension (Phase 3)
90025,E Line (Phase 2)
90026,-
90027,B Line (to Hollywood/Vine)
90028,B Line (to Hollywood/Vine)
90029,B Line (to Hollywood/Vine)
90031,L Line (Foothill Extension Phase 1: Union Station to Sierra Madre)
90032,-
90033,L Line (Eastside Transit Corridor Phase 1: Union Station to Atlantic Station)
90034,E Line (Phase 2)
90035,D Line Extension (Phase 1)
90036,D Line Extension (Phase 1)
90037,E Line (Phase 1): to La Cienega/Jefferson
90038,B Line (to Hollywood/Vine)
90039,-
90040,L Line (Eastside Transit Corridor Phase 2: Atlantic/Whittier to Lambert)
90041,North Hollywood to Pasadena Transit Corridor
90042,L Line (Foothill Extension Phase 1: Union Station to Sierra Madre)
90043,K Line
90044,C Line
90045,K Line
90046,B Line (extension to North Hollywood)
90047,-
90048,D Line Extension (Phase 2)
90049,D Line Extension (Phase 3)
90056,-
90057,D Line (to Wilshire/Western)
90058,A Line
90059,A Line
90061,C Line
90062,E Line (Phase 1): to La Cienega/Jefferson
90063,L Line (Eastside Transit Corridor Phase 1: Union Station to Atlantic Station)
90064,E Line (Phase 2)
90065,L Line (Foothill Extension Phase 1: Union Station to Sierra Madre)
90066,-
90067,D Line Extension (Phase 2)
90068,B Line (extension to North Hollywood)
90069,-
90077,-
90094,-
90201,-
90210,D Line Extension (Phase 2)
90211,D Line Extension (Phase 1)
90212,D Line Extension (Phase 2)
90220,A Line
90221,A Line
90222,A Line
90230,-
90232,E Line (Phase 1): Culver City
90240,-
90241,-
90242,C Line
90245,C Line
90247,-
90248,-
90249,-
90250,C Line
90254,-
90255,West Santa Ana Branch Transit Corridor
90260,-
90262,C Line
90265,-
90266,-
90270,-
90272,-
90274,-
90275,-
90277,-
90278,-
90280,-
90290,-
90291,-
90292,-
90293,-
90301,K Line
90302,K Line
90303,C Line
90304,C Line
90305,-
90401,E Line (Phase 2)
90402,-
90403,E Line (Phase 2)
90404,E Line (Phase 2)
90405,-
90501,-
90502,-
90503,-
90504,-
90505,-
90601,-
90602,L Line (Eastside Transit Corridor Phase 2: Atlantic/Whittier to Lambert)
90603,-
90604,-
90605,-
90606,L Line (Eastside Transit Corridor Phase 2: Atlantic/Whittier to Lambert)
90638,-
90640,L Line (Eastside Transit Corridor Phase 2: Atlantic/Whittier to Lambert)
90650,C Line
90660,L Line (Eastside Transit Corridor Phase 2: Atlantic/Whittier to Lambert)
90670,-
90701,West Santa Ana Branch Transit Corridor
90703,West Santa Ana Branch Transit Corridor
90704,-
90706,West Santa Ana Branch Transit Corridor
90710,-
90712,-
90713,-
90715,-
90716,-
90717,-
90723,West Santa Ana Branch Transit Corridor
90731,-
90732,-
90744,-
90745,-
90746,-
90755,-
90802,A Line
90803,-
90804,-
90805,-
90806,A Line
90807,A Line
90808,-
90810,-
90813,A Line
90814,-
90815,-
91001,-
91006,L Line (Foothill Extension Phase 2A: Arcadia to APU/Citrus College)
91007,-
91010,L Line (Foothill Extension Phase 2A: Arcadia to APU/Citrus College)
91011,-
91016,L Line (Foothill Extension Phase 2A: Arcadia to APU/Citrus College)
91020,-
91024,-
91030,L Line (Foothill Extension Phase 1: Union Station to Sierra Madre)
91040,-
91042,-
91101,L Line (Foothill Extension Phase 1: Union Station to Sierra Madre)
91103,-
91104,L Line (Foothill Extension Phase 1: Union Station to Sierra Madre)
91105,L Line (Foothill Extension Phase 1: Union Station to Sierra Madre)
91106,L Line (Foothill Extension Phase 1: Union Station to Sierra Madre)
91107,L Line (Foothill Extension Phase 1: Union Station to Sierra Madre)
91108,-
91201,North Hollywood to Pasadena Transit Corridor
91202,North Hollywood to Pasadena Transit Corridor
91203,North Hollywood to Pasadena Transit Corridor
91204,North Hollywood to Pasadena Transit Corridor
91205,North Hollywood to Pasadena Transit Corridor
91206,North Hollywood to Pasadena Transit Corridor
91207,-
91208,-
91214,-
91301,-
91302,-
91303,G Line (Phase 2)
91304,G Line (Phase 2)
91306,G Line (Phase 1)
91307,-
91311,G Line (Phase 2)
91316,G Line (Phase 1)
91321,-
91324,-
91325,-
91326,-
91331,East San Fernando Valley Transit Corridor
91335,G Line (Phase 1)
91340,East San Fernando Valley Transit Corridor
91342,East San Fernando Valley Transit Corridor
91343,-
91344,-
91345,-
91350,-
91351,-
91352,-
91354,-
91355,-
91356,G Line (Phase 1)
91364,-
91367,G Line (Phase 1)
91381,-
91384,-
91387,-
91390,-
